candidate_id,candidate_name,congbio_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
BB0136,"Brewster, Benjamin",NA,NA,NA,NA,NA
BB0145,"Bundy, Benajah",NA,NA,NA,NA,NA
BB0152,"Burges, Barzillai",NA,NA,NA,NA,NA
BB0160,"Bartlett, Bradbury",NA,NA,NA,NA,NA
BB0162,"Barnard, Benjamin",NA,NA,NA,NA,NA
BB0166,"Brown, Benjamin",NA,NA,NA,NA,NA
BC0008,"Buker, Carver",NA,NA,NA,NA,NA
BC0031,"Bingham, Caleb",NA,NA,NA,NA,NA
BC0051,"Boughton, Claudius V.",NA,NA,NA,NA,NA
BC0061,"Bedell, Cornelius",NA,NA,NA,NA,NA
BC0062,"Blauvelt, Cornelius A.",NA,NA,NA,NA,NA
BC0064,"Baker, Caleb",B000056,"Baker, Caleb",1762,1849,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000056
BC0067,"Bruyn, Charles",NA,NA,NA,NA,NA
BC0070,NA,B000641,"Borland, Charles, Jr.",1786,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000641
BC0073,"Brown, Constant",NA,NA,NA,NA,NA
BC0076,"Benton, Caleb",NA,NA,NA,NA,NA
BC0082,"Brush, Cornwall",NA,NA,NA,NA,NA
BC0093,"Bedell, Christopher",NA,NA,NA,NA,NA
BC0098,"Brooke, Clement",NA,NA,NA,NA,NA
BC0114,"Burlington, Charles",NA,NA,NA,NA,NA
BC0127,"Bates, Chauncey",NA,NA,NA,NA,NA
BC0134,"Braxton, Carter M.",NA,NA,NA,NA,NA
BC0170,"Buck, Charles",NA,NA,NA,NA,NA
BC0171,"Bugber, Calvin",NA,NA,NA,NA,NA
BC0172,"Brownall, Chauncey",NA,NA,NA,NA,NA
BC0178,"Barrett, Charles",NA,NA,NA,NA,NA
BC0189,"Bissell, Clark",NA,NA,NA,NA,NA
BC0193,"Butler, Calvin",NA,NA,NA,NA,NA
BD0003,"Bulles, David",NA,NA,NA,NA,NA
BD0004,"Bowdoin, Daniel",NA,NA,NA,NA,NA
BD0009,"Barker, David",NA,NA,NA,NA,NA
BD0015,"Bodwell, Daniel",NA,NA,NA,NA,NA
BD0016,"Billings, David",NA,NA,NA,NA,NA
BD0017,"Braley, David",NA,NA,NA,NA,NA
BD0018,"Boyd, David",NA,NA,NA,NA,NA
BD0019,"Bickford, Daniel, Jr.",NA,NA,NA,NA,NA
BD0020,"Bean, Daniel",NA,NA,NA,NA,NA
BD0030,NA,B000664,"Bouligny, Charles Dominique Joseph",1773,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000664
BD0045,"Bigelow, Daniel",NA,NA,NA,NA,NA
BD0046,"Bigelow, David",NA,NA,NA,NA,NA
BD0064,NA,B000212,"Barton, David",1783,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000212
BD0067,"Bradish, David",NA,NA,NA,NA,NA
BD0069,"Barnes, David",NA,NA,NA,NA,NA
BD0070,"Blaisdell, Daniel",B000530,"Blaisdell, Daniel",1762,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000530
BD0076,"Brooks, David",B000875,"Brooks, David",1756,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000875
BD0084,"Beecher, David",NA,NA,NA,NA,NA
BD0085,"Bradley, Daniel",NA,NA,NA,NA,NA
BD0086,"Boyd, David",NA,NA,NA,NA,NA
BD0091,"Buttolph, David",NA,NA,NA,NA,NA
BD0099,"Burgess, Dempsey",B001081,"Burges, Dempsey",1751,1800,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001081
BD0102,"Barringer, Daniel L.",B000181,"Barringer, Daniel Laurens",1788,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000181
BD0120,"Bard, David",B000137,"Bard, David",1744,1815,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000137
BD0122,"Boarman, Daniel",NA,NA,NA,NA,NA
BD0149,"Biddlecome, David",NA,NA,NA,NA,NA
BD0171,"Bacon, David",NA,NA,NA,NA,NA
BD0173,"Buck, Daniel Azro A.",B001015,"Buck, Daniel Azro Ashley",1789,1841,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001015
BD0188,"Burr, David C.",NA,NA,NA,NA,NA
BD0200,"Bullock, Darius",NA,NA,NA,NA,NA
BD0203,"Buckley, D. W.",NA,NA,NA,NA,NA
BD0204,"Betheldon, Daniel",NA,NA,NA,NA,NA
BD0205,"Burr, David",NA,NA,NA,NA,NA
BD0212,"Buck, Daniel",B001014,"Buck, Daniel",1753,1816,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001014
BD0226,"Blasedel, David",NA,NA,NA,NA,NA
BD0243,"Brainard, Dyer T.",NA,NA,NA,NA,NA
BD0245,"Burrows, David",NA,NA,NA,NA,NA
BD0248,"Burrows, Daniel",B001140,"Burrows, Daniel",1766,1858,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B001140
BD0250,"Bacon, Daniel",NA,NA,NA,NA,NA
BE0005,"Bowdoin, Elliot R.",NA,NA,NA,NA,NA
BE0006,"Bryant, Elias",NA,NA,NA,NA,NA
