congbio_id,candidate_id,congbio_name,congbio_birthyear,congbio_deathyear,congbio_url
B000684,BJ1411,"Bowen, John H.",1780,1822,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000684
B000691,BJ0742,"Bowers, John Myer",1772,1846,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000691
B000697,BW0122,"Bowie, Walter",1748,1810,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000697
B000714,BA0122,"Boyd, Adam",1746,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000714
B000715,BA0140,"Boyd, Alexander",1764,1857,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000715
B000729,BJ0201,"Boyle, John",1774,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000729
B000731,BJ0019,"Brace, Jonathan",1754,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000731
B000733,BG0016,"Bradbury, George",1770,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000733
B000735,BT0080,"Bradbury, Theophilus",1739,1803,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000735
B000739,BW0013,"Bradford, William",1729,1808,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000739
B000745,BS0312,"Bradley, Stephen Row",1754,1830,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000745
B000748,BW0418,"Bradley, William Czar",1782,1867,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000748
B000763,BJ0817,"Branch, John",1782,1863,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000763
B000783,BS0262,"Breck, Samuel",1771,1862,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000783
B000785,BJ1431,"Breckinridge, James",1763,1833,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000785
B000786,BJ0216,"Breckinridge, James Douglas",NA,1849,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000786
B000787,BJ0180,"Breckinridge, John",1760,1806,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000787
B000802,BR0163,"Brent, Richard",1757,1814,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000802
B000803,BW0111,"Brent, William Leigh",1784,1848,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000803
B000808,BJ1390,"Brevard, Joseph",1766,1821,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000808
B000833,BE0103,"Brigham, Elijah",1751,1816,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000833
B000875,BD0076,"Brooks, David",1756,1838,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000875
B000883,BM0060,"Brooks, Micah",1775,1857,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000883
B000888,BJ0090,"Broom, James Madison",1776,1850,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000888
B000904,BB0020,"Brown, Benjamin",1756,1831,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000904
B000914,BE0254,"Brown, Ethan Allen",1776,1852,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000914
B000921,BJ0266,"Brown, James",1766,1835,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000921
B000929,BJ0175,"Brown, John",1757,1837,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000929
B000927,BJ1311,"Brown, John",1736,1803,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000927
B000928,BJ0315,"Brown, John",NA,1815,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000928
B000926,BJ0147,"Brown, John",1772,1845,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000926
B000942,BR0106,"Brown, Robert",1744,1823,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000942
B000945,BT0180,"Brown, Titus",1786,1849,http://bioguide.congress.gov/scripts/biodisplay.pl?index=B000945
